sample, p__Spirochaetota, p__WPS-2, p__Methylomirabilota, p__Deinococcota, p__Cyanobacteria, p__Thermoplasmatota, p__Nitrospinota, p__Bdellovibrionota, p__Fusobacteriota, p__Proteobacteria, p__Acidobacteriota,Unassigned_unassigned, p__Euryarchaeota, p__Synergistota, p__Verrucomicrobiota, p__Firmicutes, p__Chloroflexi, p__Patescibacteria, p__WOR-1,d__Archaea_unassigned, p__Armatimonadota, p__Bacteroidota, p__Elusimicrobiota, p__Sumerlaeota, p__Myxococcota, p__Aenigmarchaeota,d__Eukaryota_unassigned, p__Actinobacteriota, p__Asgardarchaeota, p__Thermotogota, p__SAR324_clade(Marine_group_B), p__Nitrospirota, p__Abditibacteriota, p__Dadabacteria, p__Desulfobacterota, p__Campilobacterota, p__Dependentiae, p__Halobacterota, p__Deferribacterota, p__WS2,d__Bacteria_unassigned, p__Fibrobacterota, p__Planctomycetota, p__Gemmatimonadota
ba012.641000074.6m.bal.rep3,0,0,0,0,0,0,0,0,2284,3740,0,0,0,0,0,2846,0,74,0,0,0,2810,0,0,0,0,0,1554,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
ba014.641000079.6w.bal.rep1,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,7496,0,10,0,0,0,4736,0,0,0,0,0,3370,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
ba014.641000079.6w.bal.rep2,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,3904,0,0,0,0,0,2838,0,0,0,0,0,1923,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
ba014.641000079.6w.bal.rep3,0,0,0,0,0,0,0,0,63,78,0,0,0,0,0,11626,0,12,0,0,0,9919,0,0,0,0,0,5178,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0
ba016.641000079.3m.bal.rep1,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba016.641000079.3m.bal.rep2,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,108,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba016.641000079.3m.bal.rep3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,229,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba018.641000079.6m.bal.rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba018.641000079.6m.bal.rep2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704,0,0,0,0,0,0,0,0,0,0,0,19520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba018.641000079.6m.bal.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,0,0,0,0,0,0,0,0,0,0,0,14727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
